OrderID,OrderMonth,OrderYear,CustomerID,Region,CustomerName,State,City,Category,SubCategory,GrossSales,GrossProfit,Return_Sales_Value,ActualSales,NetProfit,TotalCost
CA-2016-152156,November,2016,CG-12520,South,Claire Gute,Kentucky,Henderson,Furniture,Bookcases,26196,4191.36,0,26196,4191.36,22004.64
CA-2016-152156,November,2016,CG-12520,South,Claire Gute,Kentucky,Henderson,Furniture,Chairs,73194,21958.2,0,73194,21958.2,51235.8
CA-2016-138688,June,2016,DV-13045,West,Darrin Van Huff,California,Los Angeles,Office Supplies,Labels,1462,687.14,0,1462,687.14,774.86
US-2015-108966,October,2015,SO-20335,South,Sean O'Donnell,Florida,Fort Lauderdale,Furniture,Tables,95757.75,-38303.1,0,95757.75,-38303.1,134060.85
US-2015-108966,October,2015,SO-20335,South,Sean O'Donnell,Florida,Fort Lauderdale,Office Supplies,Storage,2236.8,251.64,0,2236.8,251.64,1985.16
CA-2014-115812,June,2014,BH-11710,West,Brosina Hoffman,California,Los Angeles,Furniture,Furnishings,4886,1416.94,0,4886,1416.94,3469.06
CA-2014-115812,June,2014,BH-11710,West,Brosina Hoffman,California,Los Angeles,Office Supplies,Art,728,196.56,0,728,196.56,531.44
CA-2014-115812,June,2014,BH-11710,West,Brosina Hoffman,California,Los Angeles,Technology,Phones,90715.2,9071.52,0,90715.2,9071.52,81643.68
CA-2014-115812,June,2014,BH-11710,West,Brosina Hoffman,California,Los Angeles,Office Supplies,Binders,1850.4,578.25,0,1850.4,578.25,1272.15
CA-2014-115812,June,2014,BH-11710,West,Brosina Hoffman,California,Los Angeles,Office Supplies,Appliances,11490,3447,0,11490,3447,8043
CA-2014-115812,June,2014,BH-11710,West,Brosina Hoffman,California,Los Angeles,Furniture,Tables,170618.4,8530.92,0,170618.4,8530.92,162087.48
CA-2014-115812,June,2014,BH-11710,West,Brosina Hoffman,California,Los Angeles,Technology,Phones,91142.4,6835.68,0,91142.4,6835.68,84306.72
CA-2017-114412,April,2017,AA-10480,South,Andrew Allen,North Carolina,Concord,Office Supplies,Paper,1555.2,544.32,0,1555.2,544.32,1010.88
CA-2016-161389,December,2016,IM-15070,West,Irene Maddox,Washington,Seattle,Office Supplies,Binders,40797.6,13259.22,0,40797.6,13259.22,27538.38
US-2015-118983,November,2015,HP-14815,Central,Harold Pawlan,Texas,Fort Worth,Office Supplies,Appliances,6881,-12385.8,0,6881,-12385.8,19266.8
US-2015-118983,November,2015,HP-14815,Central,Harold Pawlan,Texas,Fort Worth,Office Supplies,Binders,254.4,-381.6,0,254.4,-381.6,636
CA-2014-105893,November,2014,PK-19075,Central,Pete Kriz,Wisconsin,Madison,Office Supplies,Storage,66588,1331.76,0,66588,1331.76,65256.24
CA-2014-167164,May,2014,AG-10270,West,Alejandro Grove,Utah,West Jordan,Office Supplies,Storage,5550,999,0,5550,999,4551
CA-2014-143336,August,2014,ZD-21925,West,Zuschuss Donatelli,California,San Francisco,Office Supplies,Art,856,248.24,856,0,0,0
CA-2014-143336,August,2014,ZD-21925,West,Zuschuss Donatelli,California,San Francisco,Technology,Phones,21348,1601.1,21348,0,0,0
CA-2014-143336,August,2014,ZD-21925,West,Zuschuss Donatelli,California,San Francisco,Office Supplies,Binders,2272,738.4,2272,0,0,0
CA-2016-137330,December,2016,KB-16585,Central,Ken Black,Nebraska,Fremont,Office Supplies,Art,1946,505.96,0,1946,505.96,1440.04
CA-2016-137330,December,2016,KB-16585,Central,Ken Black,Nebraska,Fremont,Office Supplies,Appliances,6034,1568.84,0,6034,1568.84,4465.16
US-2017-156909,July,2017,SF-20065,East,Sandra Flanagan,Pennsylvania,Philadelphia,Furniture,Chairs,7137.2,-101.96,0,7137.2,-101.96,7239.16
CA-2015-106320,September,2015,EB-13870,West,Emily Burns,Utah,Orem,Furniture,Tables,104463,24026.49,0,104463,24026.49,80436.51
CA-2016-121755,January,2016,EH-13945,West,Eric Hoffmann,California,Los Angeles,Office Supplies,Binders,1164.8,422.24,0,1164.8,422.24,742.56
CA-2016-121755,January,2016,EH-13945,West,Eric Hoffmann,California,Los Angeles,Technology,Accessories,9057,1177.41,0,9057,1177.41,7879.59
US-2015-150630,September,2015,TB-21520,East,Tracy Blumstein,Pennsylvania,Philadelphia,Furniture,Bookcases,308343,-166505.22,0,308343,-166505.22,474848.22
